Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Lead_Time_Days,GSCPI,gust_kph,precip_mm
SC-10025,2025-07-12,Shanghai,Singapore,Air,Electronics,11885.05,264.27,6.86,0.02,13.7,0.0
SC-10026,2025-03-05,Busan,Rotterdam,Sea,Textiles,3395.27,130.19,9.09,-0.19,16.075,0.03125
SC-10027,2024-08-13,Singapore,Rotterdam,Rail,Electronics,7956.4,27.36,11.18,0.21,16.075,0.03125
SC-10028,2025-04-04,Shanghai,Dubai,Air,Textiles,9090.01,363.32,2.04,-0.25,22.25625,0.0
SC-10029,2025-08-26,Antwerp,Singapore,Air,Textiles,1173.53,61.53,0.5,-0.08,13.7,0.0
SC-10030,2024-10-11,Antwerp,Los Angeles,Rail,Perishables,9309.4,152.08,25.79,-0.35,11.125,0.0
SC-10031,2024-01-07,Singapore,Marseille,Air,Automotive,2972.6,266.7,1.04,-0.34,13.7,0.11875
SC-10032,2024-06-12,Singapore,Dubai,Road,Perishables,1443.25,282.64,2.5,-0.35,22.25625,0.0
SC-10033,2025-12-15,Shanghai,Antwerp,Rail,Automotive,14258.84,300.69,16.61,0.56,15.88125,0.1625
SC-10034,2025-03-08,Hamburg,Singapore,Air,Textiles,14501.66,83.96,1.62,-0.19,13.7,0.0
SC-10035,2024-12-14,Los Angeles,Antwerp,Road,Automotive,12221.76,190.49,15.57,-0.26,15.88125,0.1625
SC-10036,2024-10-11,Busan,Marseille,Road,Textiles,4916.9,308.98,27.96,-0.35,13.7,0.11875
SC-10037,2024-06-08,Dubai,Hamburg,Rail,Textiles,1916.25,484.94,5.17,-0.35,14.15,0.2625
SC-10038,2024-08-08,Dubai,Hamburg,Road,Automotive,10421.38,364.09,10.49,0.21,14.15,0.2625
SC-10039,2024-12-10,Singapore,Busan,Rail,Perishables,6882.21,461.38,17.32,-0.26,6.4125,0.08125
SC-10040,2024-04-14,Los Angeles,Shanghai,Air,Automotive,2269.55,381.34,0.5,-0.96,6.4,0.1875
SC-10041,2024-04-04,Busan,Antwerp,Rail,Electronics,7680.07,296.27,15.87,-0.96,15.88125,0.1625
SC-10042,2025-01-24,Dubai,Los Angeles,Sea,Textiles,998.63,96.82,2.84,-0.18,11.125,0.0
SC-10043,2024-04-09,Busan,Rotterdam,Rail,Pharmaceuticals,13685.15,333.68,18.12,-0.96,16.075,0.03125
SC-10044,2025-01-02,Dubai,Rotterdam,Sea,Textiles,4252.31,312.07,25.25,-0.18,16.075,0.03125
SC-10045,2024-12-18,Busan,Los Angeles,Road,Textiles,10106.57,301.63,9.76,-0.26,11.125,0.0
SC-10046,2025-09-10,Shanghai,Hamburg,Road,Automotive,5019.81,245.4,8.72,-0.02,14.15,0.2625
SC-10047,2024-09-27,Shanghai,Marseille,Sea,Electronics,8040.99,264.8,16.27,0.1,13.7,0.11875
SC-10048,2024-02-14,Los Angeles,Hamburg,Sea,Perishables,8427.3,167.89,110.18,-0.19,14.15,0.2625
SC-10049,2025-04-15,Singapore,Los Angeles,Air,Perishables,3180.39,260.14,1.85,-0.25,11.125,0.0
SC-10050,2025-07-03,Dubai,Antwerp,Rail,Pharmaceuticals,14558.98,99.58,21.27,0.02,15.88125,0.1625
SC-10051,2024-05-07,Dubai,Los Angeles,Road,Automotive,11739.43,402.78,11.65,-0.59,11.125,0.0
SC-10052,2025-01-22,Hamburg,Busan,Road,Perishables,14122.73,93.7,70.01,-0.18,6.4125,0.08125
SC-10053,2024-03-21,Dubai,Shanghai,Rail,Textiles,13475.0,43.4,107.82,-0.36,6.4,0.1875
SC-10054,2025-07-19,Shanghai,Rotterdam,Road,Automotive,9169.55,218.69,19.8,0.02,16.075,0.03125
SC-10055,2024-10-27,Singapore,Los Angeles,Air,Pharmaceuticals,13867.18,329.5,1.65,-0.35,11.125,0.0
SC-10056,2025-10-05,Rotterdam,Marseille,Rail,Perishables,1783.14,219.42,0.74,-0.08,13.7,0.11875
SC-10057,2025-09-25,Busan,Los Angeles,Sea,Textiles,3341.75,139.1,18.83,-0.02,11.125,0.0
SC-10058,2025-01-05,Rotterdam,Shanghai,Road,Textiles,1155.8,279.53,1.32,-0.18,6.4,0.1875
SC-10059,2025-08-14,Antwerp,Rotterdam,Road,Textiles,5217.29,174.15,5.57,-0.08,16.075,0.03125
SC-10060,2024-07-15,Shanghai,Antwerp,Sea,Electronics,6135.82,466.5,12.92,-0.05,15.88125,0.1625
SC-10061,2025-12-22,Hamburg,Singapore,Road,Perishables,4434.56,461.4,23.3,0.56,13.7,0.0
SC-10062,2024-03-12,Los Angeles,Hamburg,Road,Automotive,12516.69,251.68,9.0,-0.36,14.15,0.2625
SC-10063,2024-02-16,Los Angeles,Marseille,Road,Textiles,5672.92,164.61,11.04,-0.19,13.7,0.11875
SC-10064,2025-11-08,Shanghai,Rotterdam,Rail,Textiles,4573.55,368.83,3.09,-0.15,16.075,0.03125
SC-10065,2024-08-21,Antwerp,Marseille,Sea,Electronics,8369.09,19.32,47.52,0.21,13.7,0.11875
SC-10066,2024-10-23,Los Angeles,Singapore,Air,Automotive,2543.4,237.91,0.85,-0.35,13.7,0.0
SC-10067,2024-03-22,Busan,Los Angeles,Air,Automotive,12131.86,168.83,0.5,-0.36,11.125,0.0
SC-10068,2024-08-26,Los Angeles,Shanghai,Sea,Automotive,1580.98,460.35,3.32,0.21,6.4,0.1875
SC-10069,2024-04-13,Dubai,Singapore,Rail,Electronics,14809.86,6.99,23.13,-0.96,13.7,0.0
SC-10070,2025-01-24,Shanghai,Antwerp,Sea,Textiles,11697.55,276.85,36.52,-0.18,15.88125,0.1625
SC-10071,2024-10-11,Antwerp,Marseille,Sea,Pharmaceuticals,3381.38,370.59,6.46,-0.35,13.7,0.11875
SC-10072,2025-04-09,Singapore,Hamburg,Sea,Textiles,580.07,243.02,8.4,-0.25,14.15,0.2625
SC-10073,2025-10-12,Shanghai,Los Angeles,Rail,Perishables,12324.19,43.62,10.99,-0.08,11.125,0.0
SC-10074,2025-01-08,Busan,Los Angeles,Sea,Electronics,10749.43,486.26,66.01,-0.18,11.125,0.0
SC-10075,2024-06-15,Busan,Dubai,Rail,Automotive,11070.6,259.49,30.22,-0.35,22.25625,0.0
SC-10076,2025-01-14,Rotterdam,Antwerp,Air,Pharmaceuticals,11683.42,307.48,1.23,-0.18,15.88125,0.1625
SC-10077,2024-12-29,Busan,Marseille,Sea,Electronics,1573.65,119.07,7.76,-0.26,13.7,0.11875
SC-10078,2024-08-02,Singapore,Marseille,Road,Electronics,5697.75,242.27,4.7,0.21,13.7,0.11875
SC-10079,2025-11-17,Singapore,Antwerp,Air,Pharmaceuticals,2180.1,215.15,0.8,-0.15,15.88125,0.1625
SC-10080,2024-09-30,Antwerp,Singapore,Sea,Perishables,13015.0,38.37,71.68,0.1,13.7,0.0
SC-10081,2025-12-19,Busan,Hamburg,Sea,Pharmaceuticals,9537.82,53.97,130.77,0.56,14.15,0.2625
SC-10082,2025-11-30,Rotterdam,Shanghai,Sea,Perishables,5298.02,418.9,13.62,-0.15,6.4,0.1875
SC-10083,2025-10-25,Rotterdam,Hamburg,Sea,Electronics,1421.6,120.67,2.51,-0.08,14.15,0.2625
SC-10084,2024-03-14,Rotterdam,Dubai,Rail,Perishables,5009.24,98.28,31.75,-0.36,22.25625,0.0
SC-10085,2025-09-15,Shanghai,Hamburg,Rail,Perishables,5215.16,252.95,3.97,-0.02,14.15,0.2625
SC-10086,2025-10-12,Antwerp,Dubai,Rail,Automotive,11079.29,384.6,16.0,-0.08,22.25625,0.0
SC-10087,2024-06-24,Dubai,Antwerp,Road,Textiles,9744.58,31.91,6.24,-0.35,15.88125,0.1625
SC-10088,2025-06-30,Antwerp,Los Angeles,Air,Textiles,13364.58,288.83,1.59,0.08,11.125,0.0
SC-10089,2024-09-07,Antwerp,Dubai,Air,Electronics,7347.12,60.49,3.66,0.1,22.25625,0.0
SC-10090,2024-06-16,Los Angeles,Singapore,Air,Electronics,2234.12,19.19,0.5,-0.35,13.7,0.0
SC-10091,2025-04-18,Hamburg,Rotterdam,Rail,Textiles,10842.05,27.32,29.43,-0.25,16.075,0.03125
SC-10092,2025-01-23,Antwerp,Singapore,Rail,Pharmaceuticals,11531.38,417.25,78.49,-0.18,13.7,0.0
SC-10093,2024-10-03,Dubai,Singapore,Air,Automotive,8638.52,59.87,1.94,-0.35,13.7,0.0
SC-10094,2025-10-17,Hamburg,Singapore,Air,Textiles,11679.02,23.53,6.92,-0.08,13.7,0.0
SC-10095,2025-12-05,Busan,Dubai,Sea,Automotive,7660.04,219.51,15.17,0.56,22.25625,0.0
SC-10096,2025-07-24,Rotterdam,Los Angeles,Rail,Automotive,8079.63,422.15,50.51,0.02,11.125,0.0
SC-10097,2024-08-12,Rotterdam,Hamburg,Air,Textiles,6699.34,131.94,3.61,0.21,14.15,0.2625
SC-10098,2025-12-02,Antwerp,Busan,Air,Electronics,868.58,211.43,0.93,0.56,6.4125,0.08125
SC-10099,2024-11-28,Hamburg,Marseille,Road,Pharmaceuticals,2064.43,20.92,0.99,-0.28,13.7,0.11875
SC-10100,2024-02-27,Dubai,Shanghai,Air,Electronics,955.72,225.09,0.6,-0.19,6.4,0.1875
SC-10101,2024-08-22,Los Angeles,Antwerp,Sea,Textiles,9727.95,289.23,13.93,0.21,15.88125,0.1625
SC-10102,2024-02-02,Los Angeles,Rotterdam,Air,Textiles,5058.16,285.88,0.78,-0.19,16.075,0.03125
SC-10103,2024-11-19,Los Angeles,Hamburg,Sea,Textiles,7874.28,166.88,17.18,-0.28,14.15,0.2625
SC-10104,2025-02-14,Hamburg,Busan,Rail,Textiles,13659.71,158.45,108.49,0.0,6.4125,0.08125
SC-10105,2024-10-01,Dubai,Marseille,Road,Pharmaceuticals,4114.74,54.21,3.39,-0.35,13.7,0.11875
SC-10106,2024-03-08,Rotterdam,Dubai,Sea,Electronics,6450.55,184.03,9.61,-0.36,22.25625,0.0
SC-10107,2024-08-04,Rotterdam,Hamburg,Sea,Automotive,11455.49,50.65,28.85,0.21,14.15,0.2625
SC-10108,2025-08-03,Dubai,Shanghai,Air,Perishables,3817.57,383.53,3.01,-0.08,6.4,0.1875
SC-10109,2024-11-18,Shanghai,Marseille,Road,Automotive,1616.21,483.17,1.59,-0.28,13.7,0.11875
SC-10110,2024-08-05,Dubai,Singapore,Air,Textiles,4701.4,485.07,0.82,0.21,13.7,0.0
SC-10111,2025-11-02,Busan,Rotterdam,Air,Textiles,2837.71,432.67,0.5,-0.15,16.075,0.03125
SC-10112,2025-05-26,Antwerp,Dubai,Road,Pharmaceuticals,13980.62,300.8,12.52,0.28,22.25625,0.0
SC-10113,2025-02-09,Hamburg,Dubai,Air,Textiles,12217.75,350.73,0.61,0.0,22.25625,0.0
SC-10114,2025-10-20,Antwerp,Dubai,Air,Textiles,9684.35,143.32,0.7,-0.08,22.25625,0.0
SC-10115,2025-04-14,Singapore,Dubai,Air,Perishables,13136.18,315.75,0.99,-0.25,22.25625,0.0
SC-10116,2024-05-26,Shanghai,Los Angeles,Rail,Automotive,12153.25,228.37,14.04,-0.59,11.125,0.0
SC-10117,2024-09-28,Singapore,Hamburg,Sea,Electronics,3205.27,241.53,9.81,0.1,14.15,0.2625
SC-10118,2024-05-22,Antwerp,Los Angeles,Sea,Textiles,13442.11,379.13,24.04,-0.59,11.125,0.0
SC-10119,2024-09-09,Rotterdam,Antwerp,Air,Automotive,8320.46,141.68,2.04,0.1,15.88125,0.1625
SC-10120,2025-07-28,Singapore,Shanghai,Rail,Perishables,12207.88,159.7,11.27,0.02,6.4,0.1875
SC-10121,2025-07-05,Singapore,Shanghai,Road,Pharmaceuticals,13493.32,462.4,12.3,0.02,6.4,0.1875
SC-10122,2024-09-26,Los Angeles,Rotterdam,Road,Electronics,5111.05,29.06,4.12,0.1,16.075,0.03125
SC-10123,2025-08-21,Hamburg,Shanghai,Road,Pharmaceuticals,2095.75,243.33,2.08,-0.08,6.4,0.1875
SC-10124,2025-03-14,Rotterdam,Singapore,Air,Perishables,3805.06,456.49,0.5,-0.19,13.7,0.0
SC-10125,2025-08-20,Hamburg,Los Angeles,Air,Automotive,6693.06,305.57,1.46,-0.08,11.125,0.0
SC-10126,2025-02-12,Hamburg,Los Angeles,Sea,Electronics,12361.21,273.66,182.19,0.0,11.125,0.0
SC-10127,2025-01-05,Rotterdam,Busan,Sea,Electronics,12980.59,125.62,177.59,-0.18,6.4125,0.08125
SC-10128,2024-08-12,Singapore,Shanghai,Road,Electronics,600.81,172.29,0.5,0.21,6.4,0.1875
SC-10129,2024-05-21,Hamburg,Shanghai,Road,Pharmaceuticals,7905.84,426.17,8.15,-0.59,6.4,0.1875
SC-10130,2025-06-05,Los Angeles,Dubai,Road,Electronics,6552.46,280.05,35.77,0.08,22.25625,0.0
SC-10131,2025-05-20,Singapore,Hamburg,Air,Automotive,3720.56,257.86,0.57,0.28,14.15,0.2625
SC-10132,2024-04-03,Dubai,Busan,Road,Perishables,2238.05,50.69,15.06,-0.96,6.4125,0.08125
SC-10133,2024-02-18,Busan,Los Angeles,Road,Perishables,5395.42,9.0,4.29,-0.19,11.125,0.0
SC-10134,2024-04-22,Shanghai,Rotterdam,Sea,Electronics,14172.19,481.88,40.3,-0.96,16.075,0.03125
SC-10135,2024-06-05,Los Angeles,Singapore,Rail,Textiles,5186.44,189.12,10.98,-0.35,13.7,0.0
SC-10136,2025-10-04,Antwerp,Rotterdam,Air,Textiles,8022.46,302.0,3.33,-0.08,16.075,0.03125
SC-10137,2024-06-12,Los Angeles,Marseille,Road,Automotive,10693.77,40.78,8.41,-0.35,13.7,0.11875
SC-10138,2025-11-27,Hamburg,Antwerp,Road,Pharmaceuticals,5772.63,341.87,4.34,-0.15,15.88125,0.1625
SC-10139,2025-03-08,Singapore,Hamburg,Rail,Electronics,14590.84,466.35,17.28,-0.19,14.15,0.2625
SC-10140,2025-09-02,Antwerp,Dubai,Rail,Automotive,14455.49,288.26,14.49,-0.02,22.25625,0.0
SC-10141,2024-03-06,Antwerp,Dubai,Sea,Perishables,4150.84,63.93,25.66,-0.36,22.25625,0.0
SC-10142,2025-01-29,Antwerp,Busan,Road,Automotive,7710.1,291.28,9.27,-0.18,6.4125,0.08125
SC-10143,2025-01-25,Dubai,Shanghai,Road,Electronics,4862.74,383.41,4.8,-0.18,6.4,0.1875
SC-10144,2025-09-02,Singapore,Antwerp,Road,Textiles,4630.19,203.8,29.71,-0.02,15.88125,0.1625
SC-10145,2025-04-24,Singapore,Shanghai,Air,Automotive,1034.86,440.04,0.99,-0.25,6.4,0.1875
SC-10146,2025-06-25,Hamburg,Busan,Rail,Textiles,9338.68,324.69,13.45,0.08,6.4125,0.08125
SC-10147,2024-09-14,Los Angeles,Antwerp,Air,Pharmaceuticals,7788.85,449.73,0.5,0.1,15.88125,0.1625
SC-10148,2025-07-20,Busan,Singapore,Sea,Perishables,1246.44,312.13,3.64,0.02,13.7,0.0
SC-10149,2024-01-12,Los Angeles,Rotterdam,Road,Textiles,4540.37,66.51,9.02,-0.34,16.075,0.03125
SC-10150,2025-11-27,Dubai,Hamburg,Air,Automotive,13669.86,155.54,3.36,-0.15,14.15,0.2625
SC-10151,2024-04-27,Los Angeles,Rotterdam,Road,Perishables,3973.65,101.7,3.09,-0.96,16.075,0.03125
SC-10152,2025-11-29,Los Angeles,Hamburg,Air,Perishables,2600.98,454.5,1.27,-0.15,14.15,0.2625
SC-10153,2025-07-03,Hamburg,Singapore,Air,Textiles,7597.07,380.44,0.5,0.02,13.7,0.0
SC-10154,2024-09-30,Busan,Singapore,Rail,Electronics,14791.93,338.52,18.87,0.1,13.7,0.0
SC-10155,2025-10-18,Rotterdam,Los Angeles,Rail,Textiles,4009.8,151.18,12.07,-0.08,11.125,0.0
SC-10156,2024-12-14,Shanghai,Antwerp,Road,Perishables,10245.97,92.84,20.55,-0.26,15.88125,0.1625
SC-10157,2024-04-24,Rotterdam,Busan,Rail,Electronics,11543.48,378.47,15.62,-0.96,6.4125,0.08125
SC-10158,2024-10-27,Rotterdam,Shanghai,Air,Electronics,3945.74,237.6,0.55,-0.35,6.4,0.1875
SC-10159,2025-03-21,Shanghai,Rotterdam,Rail,Textiles,11059.14,113.67,11.04,-0.19,16.075,0.03125
SC-10160,2024-06-10,Antwerp,Busan,Air,Perishables,5832.86,308.69,1.3,-0.35,6.4125,0.08125
SC-10161,2025-04-09,Singapore,Antwerp,Road,Pharmaceuticals,9668.43,21.13,6.95,-0.25,15.88125,0.1625
SC-10162,2024-01-04,Antwerp,Marseille,Road,Perishables,9686.18,163.76,9.89,-0.34,13.7,0.11875
SC-10163,2024-09-26,Hamburg,Antwerp,Sea,Electronics,8268.73,234.81,17.38,0.1,15.88125,0.1625
SC-10164,2025-05-27,Hamburg,Marseille,Air,Electronics,1809.2,74.83,0.72,0.28,13.7,0.11875
SC-10165,2024-07-01,Rotterdam,Los Angeles,Sea,Electronics,12611.89,492.34,151.28,-0.05,11.125,0.0
SC-10166,2025-06-03,Rotterdam,Marseille,Road,Pharmaceuticals,5151.31,105.34,8.38,0.08,13.7,0.11875
SC-10167,2024-04-18,Hamburg,Singapore,Sea,Perishables,3204.52,66.05,4.73,-0.96,13.7,0.0
SC-10168,2025-10-02,Singapore,Rotterdam,Road,Automotive,1091.24,102.56,1.56,-0.08,16.075,0.03125
SC-10169,2024-11-01,Dubai,Los Angeles,Rail,Electronics,9067.95,384.76,13.86,-0.28,11.125,0.0
SC-10170,2025-10-16,Busan,Singapore,Rail,Electronics,10324.68,213.33,62.57,-0.08,13.7,0.0
SC-10171,2025-06-03,Rotterdam,Busan,Road,Pharmaceuticals,740.52,283.14,0.73,0.08,6.4125,0.08125
SC-10172,2025-09-15,Singapore,Hamburg,Sea,Automotive,7925.35,11.48,121.68,-0.02,14.15,0.2625
SC-10173,2024-07-22,Rotterdam,Hamburg,Road,Automotive,3784.19,18.18,2.96,-0.05,14.15,0.2625
SC-10174,2024-06-05,Dubai,Los Angeles,Road,Automotive,9855.01,223.47,8.6,-0.35,11.125,0.0
SC-10175,2025-01-17,Singapore,Hamburg,Road,Automotive,3028.31,408.51,1.92,-0.18,14.15,0.2625
SC-10176,2024-06-14,Hamburg,Marseille,Road,Pharmaceuticals,10518.6,442.73,11.4,-0.35,13.7,0.11875
SC-10177,2025-07-06,Busan,Shanghai,Sea,Textiles,6107.66,44.27,14.27,0.02,6.4,0.1875
SC-10178,2025-06-27,Dubai,Rotterdam,Road,Textiles,14082.58,269.64,31.91,0.08,16.075,0.03125
SC-10179,2024-01-01,Shanghai,Los Angeles,Rail,Electronics,2494.05,456.7,14.44,-0.34,11.125,0.0
SC-10180,2025-09-05,Dubai,Singapore,Rail,Perishables,5445.46,194.6,6.78,-0.02,13.7,0.0
SC-10181,2024-11-27,Los Angeles,Marseille,Air,Perishables,2145.37,414.95,0.5,-0.28,13.7,0.11875
SC-10182,2025-05-15,Rotterdam,Hamburg,Rail,Automotive,13908.06,67.71,107.19,0.28,14.15,0.2625
SC-10183,2024-01-20,Shanghai,Singapore,Rail,Automotive,13221.42,467.76,18.1,-0.34,13.7,0.0
SC-10184,2024-04-24,Rotterdam,Marseille,Rail,Perishables,4240.15,375.96,4.11,-0.96,13.7,0.11875
SC-10185,2025-01-06,Antwerp,Hamburg,Road,Textiles,10069.77,470.73,8.42,-0.18,14.15,0.2625
SC-10186,2024-11-10,Antwerp,Rotterdam,Air,Perishables,12349.72,338.63,1.07,-0.28,16.075,0.03125
SC-10187,2024-09-02,Shanghai,Hamburg,Air,Automotive,8550.41,182.34,3.97,0.1,14.15,0.2625
SC-10188,2024-02-29,Dubai,Singapore,Air,Pharmaceuticals,8179.93,469.15,0.57,-0.19,13.7,0.0
SC-10189,2024-09-03,Los Angeles,Marseille,Air,Automotive,4006.86,138.51,0.67,0.1,13.7,0.11875
SC-10190,2025-08-03,Los Angeles,Marseille,Sea,Electronics,1849.99,166.75,12.16,-0.08,13.7,0.11875
SC-10191,2024-03-21,Dubai,Shanghai,Road,Perishables,13509.63,350.7,10.74,-0.36,6.4,0.1875
SC-10192,2024-03-28,Dubai,Singapore,Rail,Pharmaceuticals,13556.06,382.89,85.86,-0.36,13.7,0.0
SC-10193,2025-05-12,Dubai,Marseille,Sea,Pharmaceuticals,9679.97,464.77,14.58,0.28,13.7,0.11875
SC-10194,2024-03-11,Hamburg,Dubai,Air,Electronics,5415.93,103.2,0.5,-0.36,22.25625,0.0
SC-10195,2025-06-29,Los Angeles,Dubai,Sea,Automotive,5563.54,399.2,8.6,0.08,22.25625,0.0
SC-10196,2024-05-08,Busan,Shanghai,Air,Automotive,11026.36,369.53,1.11,-0.59,6.4,0.1875
SC-10197,2024-05-11,Singapore,Hamburg,Sea,Textiles,13508.1,32.83,27.15,-0.59,14.15,0.2625
SC-10198,2025-11-06,Shanghai,Rotterdam,Sea,Textiles,13362.75,194.22,24.89,-0.15,16.075,0.03125
SC-10199,2025-05-01,Dubai,Antwerp,Rail,Perishables,11808.2,142.1,30.18,0.28,15.88125,0.1625
SC-10200,2025-07-16,Busan,Hamburg,Sea,Perishables,9809.46,152.94,143.34,0.02,14.15,0.2625
SC-10201,2024-06-18,Los Angeles,Dubai,Rail,Pharmaceuticals,1720.03,491.49,1.14,-0.35,22.25625,0.0
SC-10202,2024-09-28,Los Angeles,Singapore,Road,Automotive,2843.62,321.75,2.65,0.1,13.7,0.0
SC-10203,2025-06-24,Singapore,Marseille,Air,Perishables,13529.04,359.12,0.6,0.08,13.7,0.11875
SC-10204,2025-09-13,Dubai,Marseille,Rail,Pharmaceuticals,9293.22,488.33,9.75,-0.02,13.7,0.11875
SC-10205,2025-03-09,Antwerp,Los Angeles,Air,Pharmaceuticals,633.36,189.22,0.5,-0.19,11.125,0.0
SC-10206,2024-08-04,Shanghai,Hamburg,Road,Pharmaceuticals,1971.34,401.12,13.64,0.21,14.15,0.2625
SC-10207,2025-07-06,Antwerp,Rotterdam,Rail,Electronics,10120.78,217.83,29.43,0.02,16.075,0.03125
SC-10208,2025-12-07,Hamburg,Marseille,Air,Textiles,573.39,434.9,0.5,0.56,13.7,0.11875
SC-10209,2024-07-24,Hamburg,Singapore,Air,Electronics,2831.72,91.15,0.5,-0.05,13.7,0.0
SC-10210,2025-12-31,Singapore,Shanghai,Road,Automotive,8456.64,473.9,6.39,0.56,6.4,0.1875
SC-10211,2024-11-15,Dubai,Antwerp,Rail,Pharmaceuticals,10532.48,110.17,11.25,-0.28,15.88125,0.1625
SC-10212,2025-02-12,Busan,Hamburg,Air,Pharmaceuticals,9953.44,163.78,1.15,0.0,14.15,0.2625
SC-10213,2025-11-18,Busan,Los Angeles,Sea,Automotive,3751.9,378.34,5.65,-0.15,11.125,0.0
SC-10214,2025-10-27,Singapore,Busan,Air,Perishables,10826.6,197.48,1.52,-0.08,6.4125,0.08125
SC-10215,2025-01-17,Hamburg,Los Angeles,Sea,Electronics,3940.11,304.5,20.97,-0.18,11.125,0.0
SC-10216,2025-03-24,Los Angeles,Dubai,Sea,Automotive,5218.3,222.84,12.61,-0.19,22.25625,0.0
SC-10217,2025-06-13,Dubai,Hamburg,Air,Perishables,11324.13,371.44,0.5,0.08,14.15,0.2625
SC-10218,2025-04-07,Shanghai,Los Angeles,Rail,Automotive,9919.68,114.94,11.29,-0.25,11.125,0.0
SC-10219,2024-05-03,Shanghai,Antwerp,Road,Perishables,12813.74,30.17,12.85,-0.59,15.88125,0.1625
SC-10220,2024-09-10,Rotterdam,Marseille,Road,Perishables,10035.39,150.66,10.96,0.1,13.7,0.11875
SC-10221,2024-08-18,Singapore,Busan,Air,Automotive,8740.47,237.68,1.36,0.21,6.4125,0.08125
SC-10222,2024-03-06,Shanghai,Los Angeles,Air,Textiles,1858.28,84.84,1.43,-0.36,11.125,0.0
SC-10223,2024-12-12,Los Angeles,Antwerp,Sea,Automotive,5831.88,178.04,11.97,-0.26,15.88125,0.1625
SC-10224,2024-01-22,Los Angeles,Dubai,Air,Automotive,4345.43,200.59,1.33,-0.34,22.25625,0.0
SC-10225,2025-08-25,Antwerp,Rotterdam,Sea,Automotive,4037.85,29.64,5.35,-0.08,16.075,0.03125
SC-10226,2025-07-21,Shanghai,Busan,Sea,Textiles,14608.65,292.07,174.33,0.02,6.4125,0.08125
SC-10227,2024-08-23,Los Angeles,Shanghai,Sea,Pharmaceuticals,6199.92,442.29,80.05,0.21,6.4,0.1875
SC-10228,2025-08-25,Antwerp,Busan,Rail,Textiles,13434.68,76.72,38.63,-0.08,6.4125,0.08125
